상품명,스팩목록,가격
다이슨 마이크로 1.5kg SV21,"핸디스틱청소기/무선/흡입전용/흡입력: 210W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/LED라이트/싸이클론흡입/디지털인버터모터/워셔블헤파필터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 미드나잇블루/크기(가로x세로x깊이): 250x930x202mm/출시가: 759,000원",687090
다이슨 싸이클론 V10,"핸디스틱청소기/무선/흡입전용/흡입력: 220W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/싸이클론흡입/스마트인버터모터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 카밍베이지/무게: 2.47kg/크기(가로x세로x깊이): 250x1120x260mm",325660
캐치웰 CX PRO 매직타워 N,"핸디스틱청소기/무선/흡입전용/흡입력: 220W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/싸이클론흡입/스마트인버터모터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 카밍베이지/무게: 2.47kg/크기(가로x세로x깊이): 250x1120x260mm",364310
샤크닌자 샤크 에보 파워 시스템 NEO 플러스 LC351KR,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 320W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/AI청소/LED라이트/오토스탑앤고/자동물공급/스마트인버터모터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 포함/스팀/[색상/크기] 색상: 카밍베이지/무게: 2.54kg/크기(가로x세로x깊이): 300x1100x245mm",274000
삼성전자 비스포크 제트 AI VS90F40CRG,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 320W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/AI청소/LED라이트/오토스탑앤고/자동물공급/스마트인버터모터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 포함/스팀/[색상/크기] 색상: 카밍베이지/무게: 2.54kg/크기(가로x세로x깊이): 300x1100x245mm",328000
LG전자 오브제컬렉션 코드제로 A9S AX948BWE,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 320W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/AI청소/LED라이트/오토스탑앤고/자동물공급/스마트인버터모터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/스팀/[색상/크기] 색상: 카밍베이지/무게: 2.54kg/크기(가로x세로x깊이): 300x1100x245mm",659240
디베아 ALLNEW22000+ (25년형),"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 320W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/AI청소/LED라이트/오토스탑앤고/자동물공급/스마트인버터모터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/스팀/[색상/크기] 색상: 카밍베이지/무게: 2.54kg/크기(가로x세로x깊이): 300x1100x245mm",1228990
LG전자 오브제컬렉션 코드제로 A7 Core A737WA,"핸디스틱청소기/무선/흡입전용/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/워셔블먼지필터/[배터리] 사용시간: 13분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 틈새브러쉬/[색상/크기] 색상: 미스틱화이트/무게: 1.9kg/크기(가로x세로x깊이): 267x1030x124mm",897670
샤크닌자 샤크 파워클린 360 IW4271KRCP,"핸디스틱청소기/무선/흡입전용/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/워셔블먼지필터/[배터리] 사용시간: 13분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 틈새브러쉬/[색상/크기] 색상: 미스틱화이트/무게: 1.9kg/크기(가로x세로x깊이): 267x1030x124mm",179000
다이슨 디지털 슬림,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 220W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/싸이클론흡입/자동물공급/스마트인버터모터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/[색상/크기] 색상: 카밍베이지/무게: 2.47kg/크기(가로x세로x깊이): 250x1120x260mm",770100
