상품명,스팩목록,가격
샤크닌자 샤크 에보 파워 시스템 IQ CS851 AED,"핸디스틱청소기/무선/흡입전용/흡입력: 130W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/싸이클론흡입/하이퍼미디움/헤파필터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 침구브러쉬, 펫브러쉬, 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 니켈/퍼플/무게: 2.2kg/크기(가로x세로x깊이): 250x1264x252mm",176500
삼성전자 비스포크 제트 AI VS30D973HRE,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 45,000Pa/LED라이트/UV살균/BLDC모터/워셔블헤파필터/[배터리] 사용시간: 1시간2분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/전방향회전/추가브러쉬: 침구브러쉬, 솔브러쉬, 틈새브러쉬, 카펫브러쉬, 패브릭브러쉬/물걸레: 포함/[색상/크기] 색상: 화이트/무게: 2.5kg/크기(가로x세로x깊이): 245x1275x210mm",248000
나르왈 S30 Pro,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 45,000Pa/LED라이트/UV살균/BLDC모터/워셔블헤파필터/[배터리] 사용시간: 1시간2분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/전방향회전/추가브러쉬: 침구브러쉬, 솔브러쉬, 틈새브러쉬, 카펫브러쉬, 패브릭브러쉬/물걸레: 포함/[색상/크기] 색상: 화이트/무게: 2.5kg/크기(가로x세로x깊이): 245x1275x210mm",488740
JONR S20 Pro,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 43,000Pa/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/LED라이트/싸이클론흡입/UV살균/BLDC모터/헤파필터/[배터리] 사용시간: 25분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔브러쉬, 틈새브러쉬, 패브릭브러쉬/물걸레: 별매/[색상/크기] 색상: 화이트/무게: 2.7kg/정전기방지패드/크기(가로x세로x깊이): 250x1250x200mm",870000
롯데하이마트 하이메이드 HV-JH14G,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 43,000Pa/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/LED라이트/싸이클론흡입/UV살균/BLDC모터/헤파필터/[배터리] 사용시간: 25분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔브러쉬, 틈새브러쉬, 패브릭브러쉬/물걸레: 별매/[색상/크기] 색상: 화이트/무게: 2.7kg/정전기방지패드/크기(가로x세로x깊이): 250x1250x200mm",986000
LG전자 오브제컬렉션 코드제로 A7 Core A730WA,"욕실청소기/무선/전동회전/회전속도: 220RPM/사용시간: 50분(최대)/리튬이온/[색상/크기] 색상: 화이트/무게: 0.86kg/브러쉬: 원형, 평면, 틈새",398800
쿠쿠전자 파워클론 미니 CVC-EH20NG,"욕실청소기/무선/전동회전/회전속도: 220RPM/사용시간: 50분(최대)/리튬이온/[색상/크기] 색상: 화이트/무게: 0.86kg/브러쉬: 원형, 평면, 틈새",940000
일렉트로룩스 얼티밋홈 800 EFW81713,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 280W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 에센스화이트/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,160,000원",110490
책상 지우개 똥가루 청소기,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 280W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 에센스화이트/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,160,000원",249000
드리미 V11,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 22,000Pa/스테이션: 벽걸이거치/LED라이트/BLDC모터/헤파필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 전방향회전/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함, 별매/[색상/크기] 색상: 화이트/무게: 1.5kg",296650
샤오미 VIOMI 하이엔드 A9,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 22,000Pa/스테이션: 벽걸이거치/LED라이트/BLDC모터/헤파필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 전방향회전/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함, 별매/[색상/크기] 색상: 화이트/무게: 1.5kg",464220
쿠쿠전자 파워클론 포스 CVC-F2020NWM,"핸디스틱청소기/무선/흡입전용/스테이션: 충전, 스탠드거치/LED라이트/먼지필터/[배터리] 사용시간: 35분(최대)/내장형/리튬이온/[흡입구] 일반/추가브러쉬: 틈새브러쉬/[색상/크기] 색상: 데님블루/무게: 2.5kg/크기(가로x세로x깊이): 299x689x165mm",1162620
Voltmate 무선청소기,"핸디스틱청소기/무선/흡입전용/스테이션: 충전, 스탠드거치/LED라이트/먼지필터/[배터리] 사용시간: 35분(최대)/내장형/리튬이온/[흡입구] 일반/추가브러쉬: 틈새브러쉬/[색상/크기] 색상: 데님블루/무게: 2.5kg/크기(가로x세로x깊이): 299x689x165mm",149000
일렉트로룩스 700 라이트 올인원 스테이션 EFP72315S,"핸디스틱청소기/무선/흡입전용/흡입력: 115W/스테이션: 충전, 벽걸이거치/싸이클론흡입/먼지필터/[배터리] 사용시간: 40분(최대)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 실버/레드/무게: 2.5kg/크기(가로x세로x깊이): 250x1256x221mm",129500
삼성전자 비스포크 제트 AI Lite VS28D950AIW,"핸디스틱청소기/무선/흡입전용/흡입력: 115W/스테이션: 충전, 벽걸이거치/싸이클론흡입/먼지필터/[배터리] 사용시간: 40분(최대)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 실버/레드/무게: 2.5kg/크기(가로x세로x깊이): 250x1256x221mm",609000
LG전자 오브제컬렉션 A9S AX927AWE,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 310W/스테이션: 먼지비움, 싸이클론비움, 충전, UVC LED, 스탠드거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/물분사/디지털인버터모터/워셔블헤파필터/[배터리] 사용시간: 1시간40분(대용량배터리기준)(최대)/분리형(2개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/고온/[색상/크기] 색상: 새틴그레이지/크기(가로x세로x깊이): 250x970x243mm/출시가: 1,649,000원",910030
디베아 THE NEW,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 310W/스테이션: 먼지비움, 싸이클론비움, 충전, UVC LED, 스탠드거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/물분사/디지털인버터모터/워셔블헤파필터/[배터리] 사용시간: 1시간40분(대용량배터리기준)(최대)/분리형(2개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/고온/[색상/크기] 색상: 새틴그레이지/크기(가로x세로x깊이): 250x970x243mm/출시가: 1,649,000원",549000
삼성전자 비스포크 제트 AI VS30D973JSG,"핸디청소기/무선/흡입전용/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/BLDC모터/워셔블먼지필터/[배터리] 사용시간: 8분(최대)/분리형(1개)/리튬이온/[흡입구] 추가브러쉬: 솔형브러쉬, 틈새브러쉬, 패브릭브러쉬/[색상/크기] 색상: 블랙/무게: 0.6kg/크기(가로x세로x깊이): 65x422x64mm",189000
삼성전자 비스포크 제트 AI VS25C972HRG,"핸디청소기/무선/흡입전용/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/BLDC모터/워셔블먼지필터/[배터리] 사용시간: 8분(최대)/분리형(1개)/리튬이온/[흡입구] 추가브러쉬: 솔형브러쉬, 틈새브러쉬, 패브릭브러쉬/[색상/크기] 색상: 블랙/무게: 0.6kg/크기(가로x세로x깊이): 65x422x64mm",75060
삼성전자 비스포크 제트 AI VS90F40CSG,"핸디스틱청소기/무선/흡입전용/흡입력: 200W/스테이션: 충전, 벽걸이거치/싸이클론흡입/하이퍼미디움모터/워셔블헤파필터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 니켈/레드/무게: 3kg/크기(가로x세로x깊이): 267x1272x250mm",798800
마이디어 MP07KRBK,"핸디스틱청소기/무선/흡입전용/흡입력: 200W/스테이션: 충전, 벽걸이거치/싸이클론흡입/하이퍼미디움모터/워셔블헤파필터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 니켈/레드/무게: 3kg/크기(가로x세로x깊이): 267x1272x250mm",125020
에어르 슬릭,"핸디스틱청소기/무선/흡입전용/흡입력: 140W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/싸이클론흡입/먼지감지센서/워셔블헤파필터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/[흡입구] 레이저/추가브러쉬: 펫브러쉬, 솔형브러쉬, 틈새브러쉬, 카펫브러쉬/[색상/크기] 색상: 골드/골드/무게: 2.2kg/크기(가로x세로x깊이): 250x1264x252mm",399000
삼성전자 비스포크 제트 AI VS30D973HRH,"핸디스틱청소기/무선/흡입전용/흡입력: 140W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/싸이클론흡입/먼지감지센서/워셔블헤파필터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/[흡입구] 레이저/추가브러쉬: 펫브러쉬, 솔형브러쉬, 틈새브러쉬, 카펫브러쉬/[색상/크기] 색상: 골드/골드/무게: 2.2kg/크기(가로x세로x깊이): 250x1264x252mm",5530
다이슨 V16 피스톤 애니멀 서브마린 DS60,"핸디스틱청소기/무선/흡입전용/흡입력: 280W/스테이션: 먼지비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 페블그레이/무게: 2.3kg/크기(가로x세로x깊이): 300x1055x300mm",183000
테팔 엑스퍼트 3.60 플러피 TY6961,"핸디스틱청소기/무선/흡입전용/흡입력: 280W/스테이션: 먼지비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 페블그레이/무게: 2.3kg/크기(가로x세로x깊이): 300x1055x300mm",178980
BONJOUR LT-113CG-T,"핸디스틱청소기/무선/흡입전용/스테이션: 충전, 스탠드거치/LED라이트/싸이클론흡입/먼지필터/[배터리] 사용시간: 45분(최대)/내장형/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 그라나이트그레이/무게: 2.65kg/크기(가로x세로x깊이): 250x1105x140mm",246700
비즈포비즈 클래파 더 라이트 BVC-S185,"핸디스틱청소기/무선/흡입전용/스테이션: 충전, 스탠드거치/LED라이트/싸이클론흡입/먼지필터/[배터리] 사용시간: 45분(최대)/내장형/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 그라나이트그레이/무게: 2.65kg/크기(가로x세로x깊이): 250x1105x140mm",38380
테팔 엑스나노 TY1132KO,"핸디스틱청소기/무선/흡입전용/흡입력: 256W/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/AI청소/LED라이트/먼지감지센서/UV살균/BLDC모터/헤파필터/[배터리] 사용시간: 53분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 화이트/무게: 2.5kg/크기(가로x세로x깊이): 252x1190x185mm",551080
무궁화전자 바로바로 MC-B100,"핸디스틱청소기/무선/흡입전용/흡입력: 256W/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/AI청소/LED라이트/먼지감지센서/UV살균/BLDC모터/헤파필터/[배터리] 사용시간: 53분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 화이트/무게: 2.5kg/크기(가로x세로x깊이): 252x1190x185mm",725990
신일전자 SVC-680G,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 220W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/싸이클론흡입/스마트인버터모터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/[색상/크기] 색상: 에센스그라파이트/무게: 2.47kg/크기(가로x세로x깊이): 250x1120x260mm",805005
거보아이엔씨 홈마블 H80,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 220W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/싸이클론흡입/스마트인버터모터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/[색상/크기] 색상: 에센스그라파이트/무게: 2.47kg/크기(가로x세로x깊이): 250x1120x260mm",169000
테팔 에어포스360 라이트 아쿠아 TY5586,"핸디스틱청소기/무선/흡입력: 400W/스테이션: 싸이클론비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/먼지감지센서/물분사/디지털인버터모터/워셔블먼지필터/[배터리] 사용시간: 1시간40분(최대)/분리형(2개)/리튬이온/[흡입구] 일반/추가브러쉬: 펫브러쉬, 솔형브러쉬, 틈새브러쉬, 각도조절툴/물걸레: 포함/고온/[색상/크기] 색상: 새틴그레이지/무게: 2.5kg/크기(가로x세로x깊이): 250x970x243mm",899000
일렉트로룩스 Well Q8 WQ81-3OMBF,"핸디스틱청소기/무선/흡입력: 400W/스테이션: 싸이클론비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/먼지감지센서/물분사/디지털인버터모터/워셔블먼지필터/[배터리] 사용시간: 1시간40분(최대)/분리형(2개)/리튬이온/[흡입구] 일반/추가브러쉬: 펫브러쉬, 솔형브러쉬, 틈새브러쉬, 각도조절툴/물걸레: 포함/고온/[색상/크기] 색상: 새틴그레이지/무게: 2.5kg/크기(가로x세로x깊이): 250x970x243mm",788990
LG전자 오브제컬렉션 코드제로 A7 Core A720TA,스틱청소기/무선/흡입+물걸레(동시)/스테이션: 스탠드거치/LED라이트/[배터리] 사용시간: ~30분(최대)/분리형(1개)/리튬이온/[흡입구] 액체흡입/물걸레: 포함/브러쉬자동세척/[색상/크기] 색상: 그레이&블랙/크기(가로x세로x깊이): 315x1125x320mm,1229000
샤크닌자 샤크 에보 파워 시스템 STD+ CS151KRGYAE,스틱청소기/무선/흡입+물걸레(동시)/스테이션: 스탠드거치/LED라이트/[배터리] 사용시간: ~30분(최대)/분리형(1개)/리튬이온/[흡입구] 액체흡입/물걸레: 포함/브러쉬자동세척/[색상/크기] 색상: 그레이&블랙/크기(가로x세로x깊이): 315x1125x320mm,215000
신일전자 SVC-PB220WU,"핸디스틱청소기/무선/흡입전용/BLDC모터/먼지필터/[배터리] 사용시간: 60분(최대)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 펫브러쉬, 틈새브러쉬/[색상/크기] 색상: 블루, 오렌지/무게: 2kg/크기(가로x세로x깊이): 476x1057x205mm",298000
삼성전자 제트 VS15A6031N5,"핸디스틱청소기/무선/흡입전용/BLDC모터/먼지필터/[배터리] 사용시간: 60분(최대)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 펫브러쉬, 틈새브러쉬/[색상/크기] 색상: 블루, 오렌지/무게: 2kg/크기(가로x세로x깊이): 476x1057x205mm",899440
비룸 퓨어라이트 V9-B1,"핸디스틱청소기/무선/흡입전용/흡입력: 150W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/싸이클론흡입/스마트인버터모터/[배터리] 사용시간: 40분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬, 틈새(내장형)브러쉬/[색상/크기] 색상: 카밍베이지/무게: 1.97kg/크기(가로x세로x깊이): 251x1026x242mm/출시가: 690,000원",1370000
쿠팡 홈플래닛 WL05,"핸디스틱청소기/무선/흡입전용/흡입력: 150W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/싸이클론흡입/스마트인버터모터/[배터리] 사용시간: 40분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬, 틈새(내장형)브러쉬/[색상/크기] 색상: 카밍베이지/무게: 1.97kg/크기(가로x세로x깊이): 251x1026x242mm/출시가: 690,000원",88020
델로라 V11 파워 300W,"핸디스틱청소기/무선/흡입전용/흡입력: 170W/스테이션: 벽걸이거치, 액서서리&배터리거치/LED라이트/싸이클론흡입/워셔블헤파필터/[배터리] 사용시간: 1시간20분(최대)/분리형(1개)/리튬이온/[흡입구] 레이저/바닥+카펫/추가브러쉬: 솔브러쉬, 틈새브러쉬, 미니브러쉬/[색상/크기] 색상: 화이트/무게: 3.5kg/크기(가로x세로x깊이): 293x1162x250mm",25800
테팔 에어포스360라이트 TY5510,"핸디스틱청소기/무선/흡입전용/흡입력: 170W/스테이션: 벽걸이거치, 액서서리&배터리거치/LED라이트/싸이클론흡입/워셔블헤파필터/[배터리] 사용시간: 1시간20분(최대)/분리형(1개)/리튬이온/[흡입구] 레이저/바닥+카펫/추가브러쉬: 솔브러쉬, 틈새브러쉬, 미니브러쉬/[색상/크기] 색상: 화이트/무게: 3.5kg/크기(가로x세로x깊이): 293x1162x250mm",100000
케이안 다룸 제로컬렉션,스틱청소기/무선/흡입전용/LED라이트/싸이클론흡입/먼지필터/[배터리] 사용시간: 30분(최대)/리튬이온/[흡입구] 일반/[색상/크기] 색상: 화이트/무게: 2.31kg/크기(가로x세로x깊이): 140x720x290 mm,116040
LG전자 오브제컬렉션 코드제로 A9 AI AI927WA,스틱청소기/무선/흡입전용/LED라이트/싸이클론흡입/먼지필터/[배터리] 사용시간: 30분(최대)/리튬이온/[흡입구] 일반/[색상/크기] 색상: 화이트/무게: 2.31kg/크기(가로x세로x깊이): 140x720x290 mm,25500
쿠쿠전자 파워클론 올 클린 CVC-ANLEM1420W,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 350W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/LED라이트/싸이클론흡입/먼지감지센서/BLDC모터/헤파필터/[배터리] 사용시간: 60(최대)/분리형(1개)/리튬이온/[흡입구] 전방향회전/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 화이트/무게: 1.24kg/크기(가로x세로x깊이): 250x1115x280mm",37300
아낙 ANA-BEUM25,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 350W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/LED라이트/싸이클론흡입/먼지감지센서/BLDC모터/헤파필터/[배터리] 사용시간: 60(최대)/분리형(1개)/리튬이온/[흡입구] 전방향회전/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 화이트/무게: 1.24kg/크기(가로x세로x깊이): 250x1115x280mm",48100
샤크닌자 샤크 에보파워 시스템 부스트+ LC701KRBK,"핸디스틱청소기/무선/흡입전용/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/AI청소/LED라이트/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 1시간(최대)/분리형(2개)/리튬이온/[흡입구] 일반/전방향회전/추가브러쉬: 침구브러쉬, 솔브러쉬, 틈새브러쉬, 미니브러쉬/[색상/크기] 색상: 라이트라벤더/무게: 1.7kg/크기(가로x세로x깊이): 228x1041x161mm",337360
블랙앤데커 TPV1820RAC,"핸디스틱청소기/무선/흡입전용/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/AI청소/LED라이트/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 1시간(최대)/분리형(2개)/리튬이온/[흡입구] 일반/전방향회전/추가브러쉬: 침구브러쉬, 솔브러쉬, 틈새브러쉬, 미니브러쉬/[색상/크기] 색상: 라이트라벤더/무게: 1.7kg/크기(가로x세로x깊이): 228x1041x161mm",320310
신일전자 SVC-499WS,"핸디스틱청소기/무선/흡입전용/흡입력: 600W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/LED라이트/싸이클론흡입/먼지감지센서/BLDC모터/먼지필터/[배터리] 사용시간: 1시간10분(최대)/분리형(1개)/[흡입구] 전방향회전/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 화이트/무게: 3.1kg",265000
아이룸 에코 프로 M9,"핸디스틱청소기/무선/흡입전용/흡입력: 600W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/LED라이트/싸이클론흡입/먼지감지센서/BLDC모터/먼지필터/[배터리] 사용시간: 1시간10분(최대)/분리형(1개)/[흡입구] 전방향회전/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 화이트/무게: 3.1kg",577890
신일전자 SVC-PB732DG,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 320W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/[색상/크기] 색상: 카밍베이지/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,510,000원",548000
아이닉 i20 엘리트,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 320W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/LED라이트/싸이클론흡입/오토스탑앤고/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 30분(최대)/분리형(2개)/리튬이온/[흡입구] 와이드/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/[색상/크기] 색상: 카밍베이지/무게: 2.49kg/크기(가로x세로x깊이): 300x1100x245mm/출시가: 1,510,000원",104900
쿠쿠전자 파워클론 딥 클린 CVC-DNLEM2520W,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 260W/스테이션: 먼지비움, 충전, UVC LED, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/싸이클론흡입/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 카밍베이지/무게: 2.5kg/크기(가로x세로x깊이): 250x1120x260mm/출시가: 965,000원",363330
다이슨 V10 플러피 오리진,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 260W/스테이션: 먼지비움, 충전, UVC LED, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/싸이클론흡입/스마트인버터모터/워셔블헤파필터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 카밍베이지/무게: 2.5kg/크기(가로x세로x깊이): 250x1120x260mm/출시가: 965,000원",69000
나르왈 S20 Pro 아쿠아,"스틱청소기/무선/흡입전용/흡입력: 55W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/[배터리] 사용시간: 30분(최대)/[흡입구] 전방향회전/추가브러쉬: 솔브러쉬, 틈새브러쉬/[색상/크기] 무게: 1.3kg/크기(가로x세로x깊이): 207x1158x38mm",28990
일렉트로룩스 라피도 리튬 ZB6214IGM,"스틱청소기/무선/흡입전용/흡입력: 55W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/[배터리] 사용시간: 30분(최대)/[흡입구] 전방향회전/추가브러쉬: 솔브러쉬, 틈새브러쉬/[색상/크기] 무게: 1.3kg/크기(가로x세로x깊이): 207x1158x38mm",76050
한경희생활과학 파워슬림 글라이드 HATL-7000NW,"핸디스틱청소기/무선/흡입전용/흡입력: 350W/스테이션: 충전, 스탠드거치/LED라이트/먼지감지센서/BLDC모터/[배터리] 사용시간: 50분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 화이트/무게: 1.25kg",221320
샤크닌자 샤크 에보 파워 플러스 WV250KR,"핸디스틱청소기/무선/흡입전용/흡입력: 350W/스테이션: 충전, 스탠드거치/LED라이트/먼지감지센서/BLDC모터/[배터리] 사용시간: 50분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 화이트/무게: 1.25kg",151050
다이슨 V16 피스톤 애니멀 DS60,"핸디스틱청소기/무선/흡입전용/흡입력: 450W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/BLDC모터/헤파필터/[배터리] 사용시간: 50분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬, 연장관/[색상/크기] 색상: 블랙/무게: 2.5kg/크기(가로x세로x깊이): 225x1250x230mm",189000
삼성전자 비스포크 제트 AI Lite VS28D0A95AIW,"핸디스틱청소기/무선/흡입전용/흡입력: 450W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/BLDC모터/헤파필터/[배터리] 사용시간: 50분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬, 연장관/[색상/크기] 색상: 블랙/무게: 2.5kg/크기(가로x세로x깊이): 225x1250x230mm",363770
